Shimmer_1B20_TimestampSync_Unix_CAL,Shimmer_1B20_GSR_Range_CAL,Shimmer_1B20_GSR_Skin_Conductance_CAL,Shimmer_1B20_GSR_Skin_Resistance_CAL,Shimmer_1B20_PPG_A13_CAL
ms,no_units,uS,kOhms,mV
1691463126850.10,0,33.9146757057204,29.4857603439011,599.267399267399
1691463128801.25,0,31.0717474896579,32.1835777126099,598.534798534798
1691463130752.39,0,31.3997776684343,31.8473592571096,588.278388278388
1691463132703.54,0,33.4408543363767,29.9035422343324,613.919413919413
1691463134654.68,0,34.9352140396916,28.6244131455399,596.336996336996
1691463136605.82,0,31.2904342755089,31.958648806057,602.197802197802
1691463138556.97,0,30.197000346254,33.115872057936,586.813186813186
1691463140508.11,0,28.7390884405809,34.7958148383005,582.417582417582
1691463142459.26,0,27.2811765349078,36.6553106212424,575.824175824175
1691463144410.40,0,25.7868168315929,38.7795053003533,570.69597069597
1691463146361.55,0,25.1672042716818,39.7342505430847,564.102564102564
1691463148312.69,0,24.9849652834727,40.0240700218818,561.904761904761
1691463150263.84,0,24.6569351046963,40.5565410199556,561.172161172161
1691463152214.98,0,25.5681300457419,39.1111903064861,560.43956043956
1691463154166.13,0,25.8597124268766,38.6701902748414,564.102564102564
1691463156117.27,0,25.8597124268766,38.6701902748414,564.102564102564
1691463158068.42,0,24.4382483188453,40.9194630872483,560.43956043956
1691463160019.56,0,23.855083556576,41.9197860962566,558.241758241758
1691463161970.71,0,23.3083665919486,42.9030492572322,551.648351648351
1691463163921.85,0,27.2811765349078,36.6553106212424,554.578754578754
1691463165873.00,0,34.8258706467661,28.7142857142857,571.428571428571
1691463167824.14,0,33.6959889198695,29.6771227690643,602.197802197802
1691463169775.29,0,31.7642556448526,31.4819277108433,596.336996336996
1691463171726.43,0,29.1764620122829,34.2742036227358,588.278388278388
1691463173677.57,0,27.8278934995352,35.935166994106,578.021978021977
1691463175628.72,0,25.8232646292347,38.7247706422018,572.161172161172
1691463177579.86,0,26.6615639749968,37.5071770334928,564.102564102564
1691463179531.01,0,27.1353853443405,36.852249832102,567.765567765567
1691463181482.15,0,26.3699815938621,37.9219073946095,569.963369963369
1691463183433.30,0,26.5522205820713,37.6616334934797,567.032967032967
1691463185384.44,0,25.8597124268766,38.6701902748414,567.032967032967
1691463187335.59,0,25.13075647404,39.7918781725888,564.102564102564
1691463189286.73,0,23.8186357589342,41.9839326702371,561.172161172161
1691463191237.88,0,24.6569351046963,40.5565410199556,606.593406593406
1691463193189.02,0,25.9326080221602,38.56148981026,562.637362637362
1691463195140.17,0,30.8166129061651,32.4500295683027,564.102564102564
1691463197091.31,0,32.31097260948,30.9492385786802,583.882783882783
1691463199042.46,0,28.9577752264319,34.5330396475771,589.743589743589
1691463200993.60,0,26.9531463561314,37.1014198782961,574.358974358974
1691463202944.75,0,25.5316822481001,39.1670235546038,568.498168498168
1691463204895.89,0,24.9485174858309,40.0825420014609,560.43956043956
1691463206847.04,0,23.1625754013813,43.1730920535011,559.706959706959
1691463208798.18,0,22.3607238532611,44.721271393643,549.450549450549
1691463210749.32,0,22.798097424963,43.8633093525179,548.717948717948
1691463212700.47,0,21.5953201027827,46.306329113924,547.985347985348
1691463214651.61,0,21.5953201027827,46.306329113924,547.985347985348
1691463216602.76,0,20.4654383758861,48.8628673196794,542.857142857142
1691463218553.90,0,19.845825815975,50.3884297520661,539.926739926739
1691463220505.05,0,19.2991088513476,51.8158640226629,534.065934065934
1691463222456.19,0,18.7159440890784,53.4303797468354,534.798534798534
1691463224407.34,0,20.6476773640952,48.4315975286849,531.135531135531
1691463226358.48,0,21.4859767098573,46.5419847328244,539.926739926739
1691463228309.63,0,22.9438886155304,43.5845909451946,542.857142857142
1691463230260.77,0,23.1261276037395,43.241134751773,548.717948717948
1691463232211.92,0,24.0008747471434,41.6651480637813,549.450549450549
1691463234163.06,0,23.4906055801578,42.5702094647013,552.380952380952
1691463236114.21,0,22.8709930202467,43.7235059760956,551.648351648351
1691463238065.35,0,23.0532320084558,43.3778656126482,547.252747252747
1691463240016.50,0,22.4336194485448,44.5759545085296,550.91575091575
1691463241967.64,0,21.959798079201,45.5377593360995,545.054945054945
1691463243918.79,0,21.2308421263645,47.101287553648,545.787545787545
1691463245869.93,0,20.2467515900351,49.3906390639063,539.926739926739
1691463247821.08,0,21.3401855192899,46.8599487617421,539.194139194139
1691463249772.22,0,20.0280648041842,49.9299363057324,540.65934065934
1691463251723.36,0,19.3720044466313,51.620884289746,537.728937728937
